Doumneack Keghelm
Thiddec Shattergrip
Batharlug Pebblesword
Thandreck Mudstone
Doraggarlum Onyxspine
Reiggaek Kegbrew
Bhargrotir Wraithblade
Sanmuth Grimflayer
Yudmotir Giantbuckle
Nalmug Hammerbranch
Ruvrolynn Granitegut
Ossuibelyn Mithrilhelm
Nuznealine Fierygrip
Thrabromora Darkbranch
Brotmubyrn Bloodbraid
Durilgraegar Lavabuster
Utgruwynn Largemace
Vondruna Bonesword
Aralmuigith Amberfinger
Groodawynn Lavagranite
Weramoli Chaosspine
Bromirlum Flaskcoat
Grundramri Magmashaper
Jamamri Grumblebelly
Jamrolim Nightforged
Darenduil Heavybrow
Nogrerlum Goldriver
Dorhar Barrelchin
Brarbaec Cavetank
Lomurim Blackmail
Dhokheabelynn Redmantle
Sanwodeth Snowbraid
Nodmalyn Flintborn
Daresdrotalyn Dimbeard
Dalgrobena Drakefinger
Henwuserd Kragshaper
Vasubella Magmabrew
Hakrigaer Ironbender
Torekretelin Bonechin
Alfoddingrid Kragshaper
Kadrunri Thunderfoot
Houvreth Noblehood
Strokdream Thundermail
Gakkoc Hammerfall
Vovat Windbow
Orikeac Bonehead
Brouznom Grumblehelm
Dovreat Platesword
Vadorlig Oakmantle
Housear Woldbender
Dewaeni Copperhand
Kitgrimora Flintbuckle
Gloritranelyn Gravelbreaker
Gangrelydd Largeshaper
Brougnebena Twilightshield
Dosuibelyn Dragonbrow
Uroungrid Blackbrow
Thikdrestr Jadebranch
Nogrorra Largefeet
Groteatain Twilightforge
